Company,Industry,City,Country,Continent,Year Founded,Date Joined,Year_Joined,Valuation_Num,Funding_Num,Years_To_Unicorn
6Sense,Artificial intelligence,San Francisco,United States,North America,2013,2021-03-30 00:00:00.000,2021,5000000000.00,426000000.00,8
Cerebral,Health,San Francisco,United States,North America,2020,2021-06-10 00:00:00.000,2021,5000000000.00,462000000.00,1
Creditas,Fintech,Sao Paulo,Brazil,South America,2012,2020-12-18 00:00:00.000,2020,5000000000.00,824000000.00,8
OneTrust,Internet software & services,Atlanta,United States,North America,2016,2019-07-11 00:00:00.000,2019,5000000000.00,926000000.00,3
QuintoAndar,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,2019-09-09 00:00:00.000,2019,5000000000.00,755000000.00,7
C6 Bank,Fintech,Sao Paulo,Brazil,South America,2018,2020-12-02 00:00:00.000,2020,5000000000.00,2000000000.00,2
Cockroach Labs,Data management & analytics,New York,United States,North America,2015,2021-01-12 00:00:00.000,2021,5000000000.00,633000000.00,6
Hopper,Travel,Montreal,Canada,North America,2007,2021-03-24 00:00:00.000,2021,5000000000.00,599000000.00,14
Icertis,Artificial intelligence,Bellevue,United States,North America,2009,2019-07-17 00:00:00.000,2019,5000000000.00,371000000.00,10
Moon Active,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,2020-01-26 00:00:00.000,2020,5000000000.00,425000000.00,9
OfBusiness,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,2021-07-31 00:00:00.000,2021,5000000000.00,734000000.00,6
Ola Electric Mobility,Auto & transportation,Bengaluru,India,Asia,2019,2019-07-02 00:00:00.000,2019,5000000000.00,761000000.00,0
Pine Labs,Fintech,Noida,India,Asia,1998,2020-01-24 00:00:00.000,2020,5000000000.00,903000000.00,22
Qonto,Fintech,Paris,France,Europe,2016,2022-01-11 00:00:00.000,2022,5000000000.00,704000000.00,6
SambaNova Systems,Data management & analytics,Palo Alto,United States,North America,2017,2021-04-13 00:00:00.000,2021,5000000000.00,1000000000.00,4
United Imaging Healthcare,Health,Shanghai,China,Asia,2011,2017-09-15 00:00:00.000,2017,5000000000.00,503000000.00,6
WM Motor,Auto & transportation,Shanghai,China,Asia,2015,2019-03-08 00:00:00.000,2019,5000000000.00,4000000000.00,4
ZEPZ,Fintech,London,United Kingdom,Europe,2010,2021-08-23 00:00:00.000,2021,5000000000.00,655000000.00,11
Abogen,Health,Suzhou,China,Asia,2019,2021-11-29 00:00:00.000,2021,4000000000.00,1000000000.00,2
Greensill,Fintech,London,United Kingdom,Europe,2011,2018-07-16 00:00:00.000,2018,4000000000.00,2000000000.00,7
HyalRoute,Mobile & telecommunications,NULL,Singapore,Asia,2015,2020-05-26 00:00:00.000,2020,4000000000.00,263000000.00,5
Radiology Partners,Health,El Segundo,United States,North America,2012,2018-02-26 00:00:00.000,2018,4000000000.00,1000000000.00,6
Yello Mobile,Mobile & telecommunications,Seoul,South Korea,Asia,2012,2014-11-11 00:00:00.000,2014,4000000000.00,216000000.00,2
Turing,Internet software & services,Palo Alto,United States,North America,2018,2021-12-20 00:00:00.000,2021,4000000000.00,128000000.00,3
Lenskart,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,2019-12-20 00:00:00.000,2019,4000000000.00,776000000.00,11
Kraken,Fintech,San Francisco,United States,North America,2011,2019-06-25 00:00:00.000,2019,4000000000.00,119000000.00,8
Horizon Robotics,Artificial intelligence,Beijing,China,Asia,2015,2019-02-27 00:00:00.000,2019,4000000000.00,2000000000.00,4
MoonPay,Fintech,Miami,United States,North America,2019,2021-11-22 00:00:00.000,2021,4000000000.00,555000000.00,2
Celsius Network,Fintech,Hoboken,United States,North America,2017,2021-10-12 00:00:00.000,2021,4000000000.00,864000000.00,4
ChargeBee Technologies,Fintech,Walnut,United States,North America,2011,2021-04-20 00:00:00.000,2021,4000000000.00,468000000.00,10
Coalition,Cybersecurity,San Francisco,United States,North America,2017,2021-03-17 00:00:00.000,2021,4000000000.00,505000000.00,4
Commure,Internet software & services,San Francisco,United States,North America,2017,2021-09-16 00:00:00.000,2021,4000000000.00,542000000.00,4
Flock Safety,Hardware,Atlanta,United States,North America,2017,2021-07-13 00:00:00.000,2021,4000000000.00,381000000.00,4
Handshake,Internet software & services,San Francisco,United States,North America,2014,2021-05-12 00:00:00.000,2021,4000000000.00,434000000.00,7
Highspot,Internet software & services,Seattle,United States,North America,2013,2021-02-22 00:00:00.000,2021,4000000000.00,643000000.00,8
Indigo Ag,Artificial intelligence,Boston,United States,North America,2014,2017-09-26 00:00:00.000,2017,4000000000.00,1000000000.00,3
Mirakl,E-commerce & direct-to-consumer,Paris,France,Europe,2011,2020-09-22 00:00:00.000,2020,4000000000.00,948000000.00,9
Rec Room,Internet software & services,Seattle,United States,North America,2016,2021-03-23 00:00:00.000,2021,4000000000.00,294000000.00,5
Tekion,Internet software & services,San Ramon,United States,North America,2016,2020-10-21 00:00:00.000,2020,4000000000.00,435000000.00,4
Otto Bock HealthCare,Health,Duderstadt,Germany,Europe,1919,2017-06-24 00:00:00.000,2017,4000000000.00,0.00,98
Outreach,Internet software & services,Seattle,United States,North America,2011,2019-04-16 00:00:00.000,2019,4000000000.00,489000000.00,8
WeRide,Auto & transportation,Guangzhou,China,Asia,2017,2020-12-23 00:00:00.000,2020,4000000000.00,1000000000.00,3
Applied Intuition,Data management & analytics,Sunnyvale,United States,North America,2017,2020-10-22 00:00:00.000,2020,4000000000.00,352000000.00,3
Course Hero,Edtech,Redwood City,United States,North America,2006,2020-02-12 00:00:00.000,2020,4000000000.00,477000000.00,14
Relativity,Internet software & services,Chicago,United States,North America,2001,2021-03-18 00:00:00.000,2021,4000000000.00,125000000.00,20
Whoop,E-commerce & direct-to-consumer,Boston,United States,North America,2012,2020-10-28 00:00:00.000,2020,4000000000.00,404000000.00,8
Arctic Wolf Networks,Cybersecurity,Eden Prairie,United States,North America,2012,2020-10-22 00:00:00.000,2020,4000000000.00,498000000.00,8
GOAT,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,2020-09-23 00:00:00.000,2020,4000000000.00,493000000.00,5
Noom,Health,New York,United States,North America,2006,2021-05-24 00:00:00.000,2021,4000000000.00,657000000.00,15
Papaya Global,Internet software & services,New York,United States,North America,2016,2021-03-04 00:00:00.000,2021,4000000000.00,440000000.00,5
Redwood Materials,Other,Carson City,United States,North America,2017,2021-07-28 00:00:00.000,2021,4000000000.00,792000000.00,4
ShareChat,Internet software & services,Bengaluru,India,Asia,2015,2021-04-08 00:00:00.000,2021,4000000000.00,1000000000.00,6
Sorare,E-commerce & direct-to-consumer,Paris,France,Europe,2019,2021-09-21 00:00:00.000,2021,4000000000.00,739000000.00,2
VAST Data,Data management & analytics,New York,United States,North America,2016,2020-04-16 00:00:00.000,2020,4000000000.00,263000000.00,4
Articulate,Edtech,New York,United States,North America,2015,2021-07-01 00:00:00.000,2021,4000000000.00,2000000000.00,6
Dutchie,E-commerce & direct-to-consumer,Bend,United States,North America,2017,2021-03-16 00:00:00.000,2021,4000000000.00,603000000.00,4
FalconX,Fintech,San Mateo,United States,North America,2018,2021-08-10 00:00:00.000,2021,4000000000.00,324000000.00,3
Guild Education,Internet software & services,Denver,United States,North America,2015,2019-11-13 00:00:00.000,2019,4000000000.00,379000000.00,4
Chainalysis,Fintech,New York,United States,North America,2014,2020-11-23 00:00:00.000,2020,4000000000.00,367000000.00,6
dbt Labs,Data management & analytics,Philadelphia,United States,North America,2016,2021-06-30 00:00:00.000,2021,4000000000.00,414000000.00,5
Globalization Partners,Internet software & services,Boston,United States,North America,2012,2022-01-24 00:00:00.000,2022,4000000000.00,350000000.00,10
Intarcia Therapeutics,Health,Boston,United States,North America,1995,2014-04-01 00:00:00.000,2014,4000000000.00,1000000000.00,19
Relativity Space,Other,Inglewood,United States,North America,2016,2020-11-23 00:00:00.000,2020,4000000000.00,1000000000.00,4
StockX,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,2019-06-26 00:00:00.000,2019,4000000000.00,495000000.00,3
ThoughtSpot,Internet software & services,Sunnyvale,United States,North America,2012,2018-05-08 00:00:00.000,2018,4000000000.00,664000000.00,6
SSENSE,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,2021-06-08 00:00:00.000,2021,4000000000.00,NULL,18
BitPanda,Fintech,Vienna,Austria,Europe,2014,2021-03-16 00:00:00.000,2021,4000000000.00,546000000.00,7
Dataminr,Artificial intelligence,New York,United States,North America,2009,2018-06-04 00:00:00.000,2018,4000000000.00,1000000000.00,9
Weee!,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,2021-03-16 00:00:00.000,2021,4000000000.00,864000000.00,6
Medlinker,Health,Chengdu,China,Asia,2014,2018-07-31 00:00:00.000,2018,4000000000.00,761000000.00,4
Hozon Auto,Auto & transportation,Shanghai,China,Asia,2014,2022-02-22 00:00:00.000,2022,4000000000.00,2000000000.00,8
Aurora Solar,Internet software & services,San Francisco,United States,North America,2013,2021-05-24 00:00:00.000,2021,4000000000.00,523000000.00,8
Branch,Mobile & telecommunications,Redwood City,United States,North America,2014,2018-09-10 00:00:00.000,2018,4000000000.00,667000000.00,4
BrowserStack,Internet software & services,Dublin,Ireland,Europe,2011,2021-06-16 00:00:00.000,2021,4000000000.00,250000000.00,10
Cerebras Systems,Hardware,Los Altos,United States,North America,2016,2018-11-14 00:00:00.000,2018,4000000000.00,720000000.00,2
ClickUp,Internet software & services,San Diego,United States,North America,2017,2020-12-15 00:00:00.000,2020,4000000000.00,535000000.00,3
Clubhouse,Mobile & telecommunications,San Francisco,United States,North America,2020,2021-01-24 00:00:00.000,2021,4000000000.00,110000000.00,1
Farmers Business Network,Other,San Carlos,United States,North America,2014,2020-08-03 00:00:00.000,2020,4000000000.00,870000000.00,6
Houzz,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,2014-09-30 00:00:00.000,2014,4000000000.00,614000000.00,6
MEGVII,Artificial intelligence,Beijing,China,Asia,2011,2017-10-31 00:00:00.000,2017,4000000000.00,1000000000.00,6
Melio,Fintech,New York,United States,North America,2018,2021-01-25 00:00:00.000,2021,4000000000.00,504000000.00,3
Next Insurance,Fintech,Palo Alto,United States,North America,2016,2019-10-07 00:00:00.000,2019,4000000000.00,881000000.00,3
Olive,Internet software & services,Columbus,United States,North America,2012,2020-12-01 00:00:00.000,2020,4000000000.00,856000000.00,8
Patreon,Internet software & services,San Francisco,United States,North America,2013,2020-09-02 00:00:00.000,2020,4000000000.00,413000000.00,7
PointClickCare,Internet software & services,Mississauga,Canada,North America,2000,2021-01-07 00:00:00.000,2021,4000000000.00,230000000.00,21
Rubrik,Data management & analytics,Palo Alto,United States,North America,2014,2017-04-28 00:00:00.000,2017,4000000000.00,553000000.00,3
Vuori,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,2021-10-13 00:00:00.000,2021,4000000000.00,445000000.00,6
Webflow,Internet software & services,San Francisco,United States,North America,2012,2021-01-13 00:00:00.000,2021,4000000000.00,335000000.00,9
Yuga Labs,Fintech,Miami,United States,North America,2021,2022-03-22 00:00:00.000,2022,4000000000.00,450000000.00,1
Zapier,Internet software & services,Sunnyvale,United States,North America,2011,2021-01-14 00:00:00.000,2021,4000000000.00,1000000.00,10
Dadi Cinema,Other,Shenzhen,China,Asia,2006,2016-05-11 00:00:00.000,2016,3000000000.00,154000000.00,10
Kurly,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,2021-07-09 00:00:00.000,2021,3000000000.00,770000000.00,7
Moglix,E-commerce & direct-to-consumer,NULL,Singapore,Asia,2015,2021-05-17 00:00:00.000,2021,3000000000.00,471000000.00,6
OpenAI,Artificial intelligence,San Francisco,United States,North America,2015,2019-07-22 00:00:00.000,2019,3000000000.00,1000000000.00,4
Upstox,Fintech,Mumbai,India,Asia,2010,2021-11-29 00:00:00.000,2021,3000000000.00,54000000.00,11
Vista Global,Other,Dubai,United Arab Emirates,Asia,2004,2017-08-23 00:00:00.000,2017,3000000000.00,418000000.00,13
Yixia,Mobile & telecommunications,Beijing,China,Asia,2011,2015-11-24 00:00:00.000,2015,3000000000.00,775000000.00,4
Automattic,Internet software & services,San Francisco,United States,North America,2005,2013-05-27 00:00:00.000,2013,3000000000.00,859000000.00,8
OakNorth Bank,Fintech,London,United Kingdom,Europe,2015,2017-10-12 00:00:00.000,2017,3000000000.00,1000000000.00,2
Worldcoin,Fintech,San Francisco,United States,North America,2019,2021-06-29 00:00:00.000,2021,3000000000.00,125000000.00,2
Hive Box,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,2018-01-23 00:00:00.000,2018,3000000000.00,1000000000.00,3
Trax,Artificial intelligence,NULL,Singapore,Asia,2010,2019-07-22 00:00:00.000,2019,3000000000.00,1000000000.00,9
MessageBird,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,2020-10-08 00:00:00.000,2020,3000000000.00,1000000000.00,9
Cohesity,Data management & analytics,San Jose,United States,North America,2013,2018-06-11 00:00:00.000,2018,3000000000.00,660000000.00,5
Cybereason,Cybersecurity,Boston,United States,North America,2012,2019-08-06 00:00:00.000,2019,3000000000.00,714000000.00,7
A24 Films,Other,New York,United States,North America,2012,2022-03-09 00:00:00.000,2022,3000000000.00,225000000.00,10
Acronis,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,2019-09-18 00:00:00.000,2019,3000000000.00,408000000.00,16
Aura,Cybersecurity,Burlington,United States,North America,2019,2021-06-09 00:00:00.000,2021,3000000000.00,500000000.00,2
BYTON,Auto & transportation,Nanjing,China,Asia,2016,2018-04-20 00:00:00.000,2018,3000000000.00,1000000000.00,2
Cato Networks,Cybersecurity,Tel Aviv,Israel,Asia,2015,2020-11-17 00:00:00.000,2020,3000000000.00,532000000.00,5
Digit Insurance,Fintech,Bengaluru,India,Asia,2016,2021-01-15 00:00:00.000,2021,3000000000.00,531000000.00,5
Fetch Rewards,E-commerce & direct-to-consumer,Madison,United States,North America,2014,2021-03-31 00:00:00.000,2021,3000000000.00,582000000.00,7
Games24x7,Internet software & services,Mumbai,India,Asia,2006,2022-03-30 00:00:00.000,2022,3000000000.00,75000000.00,16
GoStudent,Edtech,Vienna,Austria,Europe,2017,2021-06-22 00:00:00.000,2021,3000000000.00,685000000.00,4
Immutable,Fintech,Sydney,Australia,Oceania,2018,2022-03-07 00:00:00.000,2022,3000000000.00,280000000.00,4
Infra.Market,E-commerce & direct-to-consumer,Thane,India,Asia,2016,2021-02-25 00:00:00.000,2021,3000000000.00,274000000.00,5
Side,Internet software & services,San Francisco,United States,North America,2017,2021-03-22 00:00:00.000,2021,3000000000.00,314000000.00,4
SiFive,Hardware,San Mateo,United States,North America,2015,2022-03-16 00:00:00.000,2022,3000000000.00,366000000.00,7
Somatus,Health,McLean,United States,North America,2016,2022-02-23 00:00:00.000,2022,3000000000.00,465000000.00,6
Sysdig,Cybersecurity,San Francisco,United States,North America,2013,2021-04-28 00:00:00.000,2021,3000000000.00,730000000.00,8
Uniphore,Artificial Intelligence,Palo Alto,United States,North America,2008,2022-02-16 00:00:00.000,2022,3000000000.00,607000000.00,14
Varo Bank,Fintech,San Francisco,United States,North America,2015,2021-09-09 00:00:00.000,2021,3000000000.00,987000000.00,6
Vercel,Internet software & services,San Francisco,United States,North America,2015,2021-06-23 00:00:00.000,2021,3000000000.00,313000000.00,6
Oura,Health,Oulu,Finland,Europe,2013,2022-04-05 00:00:00.000,2022,3000000000.00,148000000.00,9
Unacademy,Edtech,Bengaluru,India,Asia,2015,2020-09-02 00:00:00.000,2020,3000000000.00,789000000.00,5
Axonius,Cybersecurity,New York,United States,North America,2017,2021-03-01 00:00:00.000,2021,3000000000.00,395000000.00,4
Clari,Internet software & services,Sunnyvale,United States,North America,2012,2021-03-03 00:00:00.000,2021,3000000000.00,496000000.00,9
ManoMano,E-commerce & direct-to-consumer,Paris,France,Europe,2013,2021-07-05 00:00:00.000,2021,3000000000.00,706000000.00,8
Pendo,Internet software & services,Raleigh,United States,North America,2013,2019-10-17 00:00:00.000,2019,3000000000.00,357000000.00,6
Plume,Internet software & services,Palo Alto,United States,North America,2015,2021-02-23 00:00:00.000,2021,3000000000.00,722000000.00,6
JumpCloud,Data management & analytics,Louisville,United States,North America,2012,2021-09-13 00:00:00.000,2021,3000000000.00,407000000.00,9
Project44,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,2021-06-01 00:00:00.000,2021,3000000000.00,818000000.00,7
Sourcegraph,Internet software & services,San Francisco,United States,North America,2013,2021-07-13 00:00:00.000,2021,3000000000.00,248000000.00,8
OwnBackup,Data management & analytics,Englewood Cliffs,United States,North America,2015,2021-01-28 00:00:00.000,2021,3000000000.00,507000000.00,6
Starburst,Data management & analytics,Boston,United States,North America,1999,2021-01-06 00:00:00.000,2021,3000000000.00,414000000.00,22
Youxia Motors,Auto & transportation,Shanghai,China,Asia,2014,2018-04-02 00:00:00.000,2018,3000000000.00,1000000000.00,4
Zetwerk,Internet software & services,Bengaluru,India,Asia,2018,2021-08-20 00:00:00.000,2021,3000000000.00,543000000.00,3
Cars24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,2020-11-24 00:00:00.000,2020,3000000000.00,1000000000.00,5
Ethos,Fintech,San Francisco,United States,North America,2016,2021-05-11 00:00:00.000,2021,3000000000.00,407000000.00,5
Komodo Health,Health,San Francisco,United States,North America,2014,2020-05-22 00:00:00.000,2020,3000000000.00,314000000.00,6
Nextiva,Internet software & services,Scottsdale,United States,North America,2008,2021-09-14 00:00:00.000,2021,3000000000.00,200000000.00,13
o9 Solutions,Artificial intelligence,Dallas,United States,North America,2009,2020-04-28 00:00:00.000,2020,3000000000.00,417000000.00,11
Scopely,Mobile & telecommunications,Culver City,United States,North America,2011,2019-10-29 00:00:00.000,2019,3000000000.00,999000000.00,8
Sila Nanotechnologies,Other,Alameda,United States,North America,2011,2019-04-16 00:00:00.000,2019,3000000000.00,880000000.00,8
Via,Auto & transportation,New York,United States,North America,2012,2020-03-30 00:00:00.000,2020,3000000000.00,777000000.00,8
Transmit Security,Cybersecurity,Tel Aviv,Israel,Asia,2014,2021-06-22 00:00:00.000,2021,3000000000.00,583000000.00,7
BlockDaemon,Fintech,Los Angeles,United States,North America,2016,2021-09-21 00:00:00.000,2021,3000000000.00,398000000.00,5
Convoy,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,2018-09-21 00:00:00.000,2018,3000000000.00,666000000.00,3
Dream Games,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,2021-06-30 00:00:00.000,2021,3000000000.00,468000000.00,2
Illumio,Cybersecurity,Sunnyvale,United States,North America,2013,2015-04-14 00:00:00.000,2015,3000000000.00,558000000.00,2
MasterClass,Edtech,San Francisco,United States,North America,2015,2021-05-13 00:00:00.000,2021,3000000000.00,461000000.00,6
Graphcore,Artificial intelligence,Bristol,United Kingdom,Europe,2016,2018-12-18 00:00:00.000,2018,3000000000.00,682000000.00,2
ApplyBoard,Edtech,Kitchener,Canada,North America,2015,2020-05-05 00:00:00.000,2020,3000000000.00,483000000.00,5
Blockstream,Fintech,Vancouver,Canada,North America,2014,2021-08-24 00:00:00.000,2021,3000000000.00,299000000.00,7
Cedar,Fintech,New York,United States,North America,2016,2021-03-09 00:00:00.000,2021,3000000000.00,326000000.00,5
ContentSquare,Internet software & services,Paris,France,Europe,2012,2021-05-25 00:00:00.000,2021,3000000000.00,812000000.00,9
Eruditus Executive Education,Edtech,Mumbai,India,Asia,2010,2021-08-12 00:00:00.000,2021,3000000000.00,591000000.00,11
Innovaccer,Health,San Francisco,United States,North America,2014,2021-02-19 00:00:00.000,2021,3000000000.00,379000000.00,7
Ironclad,Internet software & services,Sacramento,United States,North America,2014,2022-01-18 00:00:00.000,2022,3000000000.00,334000000.00,8
Skims,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,2021-04-09 00:00:00.000,2021,3000000000.00,399000000.00,2
Thumbtack,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,2015-09-29 00:00:00.000,2015,3000000000.00,698000000.00,7
Zipline,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,2019-05-20 00:00:00.000,2019,3000000000.00,483000000.00,5
BharatPe,Fintech,New Delhi,India,Asia,2018,2021-07-30 00:00:00.000,2021,3000000000.00,600000000.00,3
DriveWealth,Fintech,Chatham,United States,North America,2012,2021-08-20 00:00:00.000,2021,3000000000.00,551000000.00,9
Flink Food,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,2021-12-01 00:00:00.000,2021,3000000000.00,1000000000.00,0
PsiQuantum,Hardware,Palo Alto,United States,North America,2016,2021-07-27 00:00:00.000,2021,3000000000.00,665000000.00,5
